host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_log
47336995,0,0,40.75812,-73.98935,0,10.0,1,2.0,0.08,1,0,2.3978952727983707
84497333,0,14,40.72237,-73.99817,2,10.0,5,2.0,0.07,1,0,2.3978952727983707
205820814,3,13,40.834540000000004,-73.92751,2,10.0,1,0.0,0.0,1,180,2.3978952727983707
62685070,1,9,40.699740000000006,-73.91935,2,10.0,5,0.0,0.0,1,0,2.3978952727983707
33511962,0,11,40.81302,-73.95349,0,10.0,1,0.0,0.0,1,0,2.3978952727983707
47516406,2,10,40.691390000000006,-73.86086,2,10.0,7,4.0,0.41,2,180,2.3978952727983707
97001292,2,2,40.69085,-73.79916,1,10.0,1,43.0,1.68,1,252,2.3978952727983707
268138154,1,9,40.6964,-73.91898,2,10.0,1,2.0,2.0,1,0,2.3978952727983707
11967922,1,12,40.72421,-73.95364000000001,1,10.0,1,93.0,4.73,1,32,2.3978952727983707
52777892,0,7,40.768440000000005,-73.95340999999999,1,10.0,3,10.0,0.39,1,0,2.3978952727983707
91034542,0,6,40.74408,-73.97803,2,10.0,5,42.0,2.87,1,2,2.3978952727983707
2196224,0,5,40.730509999999995,-73.9814,1,10.0,30,0.0,0.0,4,137,2.3978952727983707
647528,1,4,40.69508,-73.95164,1,10.0,3,5.0,0.51,1,0,2.3978952727983707
180661875,0,3,40.768440000000005,-73.98333000000001,2,10.0,1,2.0,0.13,1,0,2.3978952727983707
197169969,2,2,40.68939,-73.79885999999999,1,10.0,2,22.0,1.76,1,332,2.3978952727983707
167570251,1,1,40.662420000000004,-73.99464,1,10.0,1,14.0,1.06,1,4,2.3978952727983707
110049861,1,8,40.709590000000006,-73.95693,2,10.0,1,0.0,0.0,1,83,2.3978952727983707
205706382,2,15,40.72514,-73.89845,0,11.0,1,0.0,0.0,1,245,2.4849066497880004
109725962,1,9,40.68994,-73.91556,1,11.0,2,113.0,3.86,1,261,2.4849066497880004
19342,0,3,40.799,-73.96315,1,11.0,7,0.0,0.0,1,273,2.4849066497880004
1144452,0,16,40.74045,-74.00046999999999,2,12.0,3,8.0,0.59,1,37,2.5649493574615367
108512889,2,17,40.739540000000005,-73.92095,0,12.0,1,0.0,0.0,1,359,2.5649493574615367
3737986,0,18,40.70588,-74.0159,1,12.0,300,0.0,0.0,1,0,2.5649493574615367
2066240,1,19,40.67405,-73.94419,1,12.0,3,0.0,0.0,1,0,2.5649493574615367
158178970,4,20,40.63136,-74.12559,0,13.0,1,9.0,5.51,3,8,2.6390573296152584
146345538,1,9,40.693290000000005,-73.91328,0,15.0,30,3.0,0.16,5,344,2.772588722239781
182488531,2,23,40.73753,-73.87054,0,15.0,1,19.0,1.71,2,271,2.772588722239781
257474717,2,24,40.754979999999996,-73.83423,1,15.0,2,0.0,0.0,1,361,2.772588722239781
73228035,1,22,40.662,-73.93775,2,15.0,1,2.0,0.07,2,0,2.772588722239781
2967377,0,0,40.76279,-73.99463,1,15.0,2,0.0,0.0,1,139,2.772588722239781
221574115,1,21,40.61208,-74.00180999999999,0,15.0,10,0.0,0.0,2,0,2.772588722239781
272872092,2,25,40.73657,-73.85088,1,16.0,9,1.0,1.0,1,322,2.833213344056216
20902552,0,26,40.834559999999996,-73.94344,2,16.0,14,0.0,0.0,1,0,2.833213344056216
227905146,2,27,40.76185,-73.87392,0,16.0,1,10.0,1.36,1,0,2.833213344056216
16477306,0,7,40.76866,-73.95553000000001,1,16.0,2,21.0,1.69,1,9,2.833213344056216
33106693,0,11,40.82159,-73.95013,2,16.0,2,43.0,1.66,3,154,2.833213344056216
655506,0,14,40.7234,-73.99967,1,16.0,3,3.0,0.16,1,0,2.833213344056216
51596474,1,28,40.62638,-74.01836999999999,0,18.0,9,1.0,1.0,12,0,2.9444389791664403
12577771,1,4,40.689479999999996,-73.93528,2,18.0,1,0.0,0.0,1,0,2.9444389791664403
101491116,1,29,40.68313,-73.87077,0,19.0,2,76.0,2.4,6,120,2.995732273553991
72838963,2,2,40.68411,-73.79688,0,19.0,1,26.0,1.4,2,138,2.995732273553991
137501374,2,23,40.74038,-73.86964,0,19.0,1,15.0,2.78,3,236,2.995732273553991
111542307,1,4,40.68622,-73.92639,0,19.0,30,1.0,0.17,2,339,2.995732273553991
274333,0,11,40.80298,-73.95375,0,20.0,1,0.0,0.0,3,2,3.044522437723423
172369331,1,40,40.598420000000004,-73.95666999999999,0,20.0,2,1.0,0.77,10,342,3.044522437723423
40134417,1,12,40.73076,-73.95575,1,20.0,4,17.0,0.58,1,0,3.044522437723423
1887999,4,41,40.62109,-74.16534,2,20.0,3,80.0,0.92,1,226,3.044522437723423
1532337,3,38,40.84087,-73.8699,0,20.0,10,3.0,0.68,4,25,3.044522437723423
48017685,2,24,40.7544,-73.82866,0,20.0,3,3.0,0.07,1,0,3.044522437723423
51596474,1,30,40.58453,-73.97171999999999,0,20.0,5,5.0,1.01,12,0,3.044522437723423
1532337,3,38,40.84047,-73.87127,0,20.0,14,1.0,0.48,4,139,3.044522437723423
222098649,2,2,40.68547,-73.79063000000001,1,20.0,1,111.0,13.11,1,41,3.044522437723423
16494382,2,43,40.70735,-73.89343000000001,2,20.0,7,0.0,0.0,1,89,3.044522437723423
129022496,1,4,40.67872,-73.94805,2,20.0,10,8.0,1.4,2,38,3.044522437723423
